number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,0.5671447386056802,2026-05-17 19:30:00.356956,2026-05-17 19:30:08.584282,0 days 00:00:08.227326,2.8146562690091064e-06,0.7210483374821948,0.15188595998236334,3.813981287254371,3.765790395254432,10,12,0.7095888644191308,COMPLETE
1,0.4849722540811065,2026-05-17 19:30:08.584282,2026-05-17 19:30:13.732489,0 days 00:00:05.148207,0.00010388205574765261,0.6370994863018129,0.16968820372939852,2.060910473712333,0.18352977736253798,5,8,0.6729232445653877,COMPLETE
2,0.5077205790952201,2026-05-17 19:30:13.732489,2026-05-17 19:30:16.867622,0 days 00:00:03.135133,0.005790963509990055,0.8299805258021227,0.27688267314880055,2.9205798256004134,0.5817763128366116,9,9,0.5973361752508979,COMPLETE
3,0.5204958192581467,2026-05-17 19:30:16.867622,2026-05-17 19:30:30.645050,0 days 00:00:13.777428,4.266711140738292e-05,0.6738058329442178,0.025113504429902435,1.590219285758883,19.763744321686247,4,7,0.7157702412707964,COMPLETE
4,0.623894080559747,2026-05-17 19:30:30.645050,2026-05-17 19:30:42.574001,0 days 00:00:11.928951,0.0005046341672131644,0.5373131116044636,0.027547688610700616,4.8235854261329765,12.084107991568061,4,2,0.5024618256777486,COMPLETE
5,0.5744273353885615,2026-05-17 19:30:42.574001,2026-05-17 19:30:56.649640,0 days 00:00:14.075639,0.013194348642941453,0.8161433817229911,0.011501641661693443,4.504713568675592,0.6845155737200462,9,9,0.6234834095894712,COMPLETE
6,0.6592285728405465,2026-05-17 19:30:56.649640,2026-05-17 19:31:00.497676,0 days 00:00:03.848036,9.229525403703738,0.6920149426281113,0.08166884299753231,4.691438577479881,3.57039967376959,7,6,0.6605814672967213,COMPLETE
7,0.6072470232120192,2026-05-17 19:31:00.497676,2026-05-17 19:31:07.874523,0 days 00:00:07.376847,2.865961912767554e-07,0.5399397849486742,0.0384773636309024,3.871710949457851,0.33621454514469684,6,8,0.9198492793133429,COMPLETE
8,0.6373190509477369,2026-05-17 19:31:07.874523,2026-05-17 19:31:16.133360,0 days 00:00:08.258837,0.011565486237392265,0.6519033527807025,0.05839741576504029,4.477397781963398,14.160340794137477,3,8,0.8810772969340372,COMPLETE
9,0.5921840241149404,2026-05-17 19:31:16.133360,2026-05-17 19:31:28.977517,0 days 00:00:12.844157,0.000985638053747453,0.9039773531347732,0.025278601227895776,4.064686999854155,0.14892668648231888,5,3,0.9521474749670289,COMPLETE
10,0.45266749437360365,2026-05-17 19:31:28.979521,2026-05-17 19:31:30.740231,0 days 00:00:01.760710,1.446268395142275e-08,0.998686447471897,0.29682018242858826,0.18297542398902422,0.11362483712637629,11,15,0.8166295845534349,COMPLETE
11,0.4568041408227478,2026-05-17 19:31:30.740231,2026-05-17 19:31:32.475886,0 days 00:00:01.735655,3.3075785653247345e-08,0.9742896470429909,0.27133974751619805,0.05201539177277692,0.11577141227244898,12,15,0.805038282777102,COMPLETE
12,0.4616034225683377,2026-05-17 19:31:32.475886,2026-05-17 19:31:34.363348,0 days 00:00:01.887462,1.4258601464835739e-08,0.999809446938596,0.27485047707390803,0.012430656043655564,0.13667477579846574,12,15,0.8235622581612809,COMPLETE
13,0.44028455824557994,2026-05-17 19:31:34.363348,2026-05-17 19:31:37.689829,0 days 00:00:03.326481,1.5436768521316995e-08,0.9829002492006254,0.12988561670216917,0.15427582601691903,0.10262456549616664,12,15,0.8097782622459274,COMPLETE
14,0.451455311558863,2026-05-17 19:31:37.691838,2026-05-17 19:31:41.957274,0 days 00:00:04.265436,1.0901661593786632e-06,0.9232600231048361,0.10944809837710757,0.9886380312550427,0.3084953344530258,11,12,0.7918500473388398,COMPLETE
15,0.5358290477312597,2026-05-17 19:31:41.957274,2026-05-17 19:31:44.516964,0 days 00:00:02.559690,8.501824884129837e-07,0.9031541889165946,0.10551053352569822,1.0266608692146608,0.30390114163318177,10,12,0.9993615884858885,COMPLETE
16,0.4401625868315201,2026-05-17 19:31:44.516964,2026-05-17 19:31:48.376657,0 days 00:00:03.859693,7.018014659472729e-06,0.9103434932466046,0.11307898907099749,0.8333831347683035,1.2339443078264434,8,12,0.7551138245682976,COMPLETE
17,0.4546717833341053,2026-05-17 19:31:48.376657,2026-05-17 19:31:57.206691,0 days 00:00:08.830034,1.7515140498914993e-05,0.8011437458081514,0.06337262206577975,0.8223815940493442,1.7342290179638318,8,13,0.872052166240089,COMPLETE
18,0.5152473921136211,2026-05-17 19:31:57.206691,2026-05-17 19:32:01.186567,0 days 00:00:03.979876,0.29501950329726334,0.861935655033282,0.1570738624348093,2.446426074326934,1.2640580970596553,7,13,0.7552108944760159,COMPLETE
19,0.48054565956156325,2026-05-17 19:32:01.188575,2026-05-17 19:32:11.217359,0 days 00:00:10.028784,1.6520045992721967e-07,0.7723630421871487,0.10228182707379445,1.551208084711071,5.607352134022838,8,10,0.7497607268862521,COMPLETE
20,0.43846167159101823,2026-05-17 19:32:11.217359,2026-05-17 19:32:13.177494,0 days 00:00:01.960135,6.587038233809538e-06,0.9448847737670596,0.19166416515405504,0.5744271764748703,1.2064196919448058,9,5,0.5634874087993276,COMPLETE
21,0.44437290387692246,2026-05-17 19:32:13.177494,2026-05-17 19:32:14.831438,0 days 00:00:01.653944,1.145458725591009e-05,0.942338416936446,0.1853349700451425,0.6380682904194115,1.406773432784892,9,5,0.5329687793370614,COMPLETE
22,0.4207468900577771,2026-05-17 19:32:14.831438,2026-05-17 19:32:16.908321,0 days 00:00:02.076883,1.2487514586803127e-07,0.8778262402250064,0.13022762464371102,0.49886948005836895,0.7410239773427614,10,4,0.5679831513402296,COMPLETE
23,0.446514344637996,2026-05-17 19:32:16.908321,2026-05-17 19:32:20.402825,0 days 00:00:03.494504,5.231475966617665e-06,0.8673083818102643,0.2013915309539567,1.5773457373003208,0.848936061423371,10,4,0.5657532559040375,COMPLETE
24,0.402138152415939,2026-05-17 19:32:20.402825,2026-05-17 19:32:24.277067,0 days 00:00:03.874242,1.8729532859977072e-07,0.8601142420042375,0.07982592186097293,0.5602187523756332,2.3434499996184592,8,2,0.6080838468822269,COMPLETE
25,0.3965573040859354,2026-05-17 19:32:24.277067,2026-05-17 19:32:27.012242,0 days 00:00:02.735175,2.6244346794501776e-07,0.8644585483750779,0.07209653655625876,0.49913518369670307,2.4052373287200406,9,1,0.5858216894548836,COMPLETE
26,0.4271004537373127,2026-05-17 19:32:27.012242,2026-05-17 19:32:35.347985,0 days 00:00:08.335743,1.5548526050917902e-07,0.8684005972067903,0.04348947554904414,1.3258429463282417,2.3838603398537104,7,1,0.6211876248530406,COMPLETE
27,0.5333208413904096,2026-05-17 19:32:35.347985,2026-05-17 19:32:42.644602,0 days 00:00:07.296617,6.740385921032948e-08,0.7634845050720129,0.08387547398730899,3.069120274350669,6.839969208120399,11,1,0.5875713597237757,COMPLETE
28,0.46025755146816233,2026-05-17 19:32:42.644602,2026-05-17 19:32:50.551926,0 days 00:00:07.907324,6.805189978183854e-07,0.8348823123210349,0.08104884427579406,2.0305377483276184,2.4257591615259257,10,3,0.5282107767116202,COMPLETE
