number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,0.4904746261150472,2026-05-17 19:36:42.743679,2026-05-17 19:37:05.473704,0 days 00:00:22.730025,3.214362612412361e-05,0.7728192475976003,0.010453843967435822,0.9857590045547954,12.215602703698885,8,3,0.5689501868784608,COMPLETE
1,0.42774990865868184,2026-05-17 19:37:05.473704,2026-05-17 19:37:22.868339,0 days 00:00:17.394635,8.149913435626186e-05,0.8266532474849888,0.010151137439312785,0.2604961030996039,3.467989003977582,7,1,0.6015056905967028,COMPLETE
2,0.6024370597838635,2026-05-17 19:37:22.868339,2026-05-17 19:37:28.754154,0 days 00:00:05.885815,5.8129383296808835e-05,0.7037159155094641,0.018404760804631257,2.4455346375213702,0.11547958780738427,5,9,0.9670634983914175,COMPLETE
3,0.4726785072334859,2026-05-17 19:37:28.754154,2026-05-17 19:37:29.819147,0 days 00:00:01.064993,1.2100521690650611e-06,0.9769723975047562,0.26101639562420914,0.5590731953464378,0.2638904483526528,10,3,0.9953525575285049,COMPLETE
4,0.594987999956806,2026-05-17 19:37:29.819147,2026-05-17 19:37:33.243497,0 days 00:00:03.424350,1.8238010898425882e-06,0.5943687744382542,0.06446946856731259,2.8786862640792563,0.837238917441813,12,11,0.9645101908233225,COMPLETE
5,0.5776559563059809,2026-05-17 19:37:33.243497,2026-05-17 19:37:37.809607,0 days 00:00:04.566110,7.541969215822569e-08,0.5943919032011691,0.12117974170259026,2.130397350987937,1.821841571846662,3,8,0.8712561549418434,COMPLETE
6,0.5712373600291898,2026-05-17 19:37:37.809607,2026-05-17 19:37:42.160759,0 days 00:00:04.351152,7.211256251684362e-07,0.5989471772979906,0.12125506018410115,3.1646157373988966,1.1013327130160204,5,13,0.6646705867770522,COMPLETE
7,0.5272474321788249,2026-05-17 19:37:42.160759,2026-05-17 19:37:57.432855,0 days 00:00:15.272096,0.004432573261464663,0.6653128812750637,0.013630891314186468,2.1330735590394037,3.202299867440337,11,5,0.561895632685538,COMPLETE
8,0.4976981188557804,2026-05-17 19:37:57.432855,2026-05-17 19:38:04.140944,0 days 00:00:06.708089,0.1133331319393849,0.677793952927412,0.11487688732991894,0.7140737724899615,17.20158816931215,7,8,0.8858217169318305,COMPLETE
9,0.5502874524970023,2026-05-17 19:38:04.140944,2026-05-17 19:38:16.159038,0 days 00:00:12.018094,0.7272982527555615,0.6173578372187217,0.0685140693363554,2.5698274320978722,0.3191245011461689,10,5,0.7568865637490332,COMPLETE
10,0.5971279624615463,2026-05-17 19:38:16.159038,2026-05-17 19:38:28.502805,0 days 00:00:12.343767,0.0038935666690587006,0.8310285941448243,0.028682453897087345,4.558101690143365,6.87933508016934,8,1,0.5050111121662046,COMPLETE
11,0.4565499794147039,2026-05-17 19:38:28.502805,2026-05-17 19:38:29.610191,0 days 00:00:01.107386,1.9949228262343698e-08,0.9969164079503231,0.2965453735673947,0.09156337044572405,0.36274731042977776,9,1,0.7296481956225036,COMPLETE
12,0.4423618166048208,2026-05-17 19:38:29.610191,2026-05-17 19:38:31.210157,0 days 00:00:01.599966,1.1505370278824739e-08,0.9737809114120448,0.2741056436044226,0.021960669680852335,3.7552016300814155,7,1,0.6772696073270243,COMPLETE
13,0.4812768169118634,2026-05-17 19:38:31.210157,2026-05-17 19:38:38.162169,0 days 00:00:06.952012,0.002137768468312449,0.8824828944550078,0.031443842770638414,1.1158499895824483,3.9376017480772436,6,4,0.6570062819207847,COMPLETE
14,0.4987725607379948,2026-05-17 19:38:38.162169,2026-05-17 19:38:54.848942,0 days 00:00:16.686773,4.30278282428984,0.9081086479580064,0.03718383473208137,0.0029765093874973836,4.7029418005903025,4,15,0.6758410898599487,COMPLETE
15,0.4750703905419784,2026-05-17 19:38:54.848942,2026-05-17 19:38:58.766720,0 days 00:00:03.917778,2.5093754386284162e-05,0.785267158186854,0.18607251559172486,1.5293982162818882,2.076411544537579,7,1,0.5996893352228113,COMPLETE
16,0.615906909578697,2026-05-17 19:38:58.766720,2026-05-17 19:39:11.721178,0 days 00:00:12.954458,0.034610394393997226,0.5218112972343383,0.018526884933452753,3.69941891518019,7.7699109750673,6,6,0.7812906392558029,COMPLETE
17,0.48092434077523566,2026-05-17 19:39:11.721178,2026-05-17 19:39:22.437965,0 days 00:00:10.716787,1.453508425704185e-07,0.8993410673745517,0.05055714285654696,1.5313006211765607,0.7417476697491143,9,3,0.8176886357232589,COMPLETE
18,0.46578163473831824,2026-05-17 19:39:22.437965,2026-05-17 19:39:25.127397,0 days 00:00:02.689432,0.00038736384974226407,0.9421205307341299,0.0843963670938379,0.39729581409932146,2.4990147502356024,6,6,0.6187788062109599,COMPLETE
19,0.4895466483234724,2026-05-17 19:39:25.127397,2026-05-17 19:39:38.136170,0 days 00:00:13.008773,1.3200249900214769e-08,0.8458590093543598,0.04468753556628934,1.485352090814906,7.632470005134827,9,2,0.7086386559655664,COMPLETE
20,0.6009434083810046,2026-05-17 19:39:38.136170,2026-05-17 19:39:40.585836,0 days 00:00:02.449666,5.765643818141433e-06,0.8243968578001463,0.18814232220839391,4.98586096365791,1.4547667978934153,3,10,0.5000067086207165,COMPLETE
21,0.44532629469952933,2026-05-17 19:39:40.585836,2026-05-17 19:39:41.884356,0 days 00:00:01.298520,1.4057636579305388e-08,0.9915376546119566,0.29855202819322824,0.06881985230035838,0.4663231082146794,9,1,0.7174187856536209,COMPLETE
22,0.4655075387076365,2026-05-17 19:39:41.884356,2026-05-17 19:39:43.184107,0 days 00:00:01.299751,1.5784338463581055e-07,0.950742180877391,0.2056803173299987,0.35565768536123843,0.5764328222314797,8,2,0.6278325821354127,COMPLETE
23,0.4541537539419453,2026-05-17 19:39:43.184107,2026-05-17 19:39:45.728973,0 days 00:00:02.544866,1.1140031130984059e-08,0.9261103927130168,0.14519177814714437,0.9786932480778563,0.1787106632345805,7,2,0.7084884805721259,COMPLETE
24,0.4537499094104348,2026-05-17 19:39:45.728973,2026-05-17 19:39:48.054244,0 days 00:00:02.325271,1.8258108067714467e-07,0.99426215814053,0.2268107036689594,0.03528990263791343,4.784741489840495,10,4,0.7842851462617701,COMPLETE
25,0.4467502581578359,2026-05-17 19:39:48.054244,2026-05-17 19:39:56.434640,0 days 00:00:08.380396,5.280684547231299e-06,0.8593121288175252,0.02273034081877656,0.6897883495734292,0.5031994318390672,5,1,0.5550550043264388,COMPLETE
26,0.4954269214036473,2026-05-17 19:39:56.434640,2026-05-17 19:39:58.839301,0 days 00:00:02.404661,0.00020490873172458195,0.9565116073355494,0.29642293619454113,1.26078311648799,1.0507971160260883,8,7,0.6867579601830102,COMPLETE
27,0.46184505733402315,2026-05-17 19:39:58.839301,2026-05-17 19:40:01.088967,0 days 00:00:02.249666,4.8646640166628616e-08,0.7438033591400164,0.15564461947996666,0.3977229898665601,3.0825977899803734,7,4,0.6388364289484612,COMPLETE
28,0.4547111341040038,2026-05-17 19:40:01.088967,2026-05-17 19:40:03.499961,0 days 00:00:02.410994,3.7914363999427725e-07,0.8034700015310795,0.08983704623509654,0.7842271710217142,1.614801209048821,9,2,0.5910204112864403,COMPLETE
29,0.5349878288015999,2026-05-17 19:40:03.499961,2026-05-17 19:40:19.364904,0 days 00:00:15.864943,9.733813641187323e-06,0.745991963595369,0.010888362377457356,1.8891168617835397,9.780849125038733,6,3,0.5439169935762782,COMPLETE
30,0.46657747150577344,2026-05-17 19:40:19.364904,2026-05-17 19:40:23.953341,0 days 00:00:04.588437,0.00012537232032437285,0.8749878634762954,0.15874323524474182,0.9894516836007101,6.190499148182308,11,3,0.8239325055581348,COMPLETE
31,0.43980928025454596,2026-05-17 19:40:23.953341,2026-05-17 19:40:32.976681,0 days 00:00:09.023340,2.780704284480859e-06,0.8622835892490257,0.017076192377649464,0.27000323396393605,0.5296753776344174,5,1,0.541149911457532,COMPLETE
32,0.45619094490109013,2026-05-17 19:40:32.976681,2026-05-17 19:40:47.576332,0 days 00:00:14.599651,0.00072255563983989,0.9188064755729696,0.01088154272393098,0.22770679023520773,0.14949813353971636,4,1,0.5285334102560953,COMPLETE
33,0.4625410639915389,2026-05-17 19:40:47.576332,2026-05-17 19:40:59.143526,0 days 00:00:11.567194,1.9273007975703153e-05,0.973649635922123,0.014512686804979644,0.581783074885758,0.4471945108411227,4,2,0.6062877451879651,COMPLETE
34,0.4403758683777002,2026-05-17 19:40:59.143526,2026-05-17 19:41:08.916669,0 days 00:00:09.773143,1.807489691204052e-06,0.7786552144261393,0.013881097166467812,0.32257578051356905,0.2260083381873592,5,1,0.5743755205031382,COMPLETE
35,0.46183195194343973,2026-05-17 19:41:08.916669,2026-05-17 19:41:19.704105,0 days 00:00:10.787436,1.6177759076266754e-06,0.7743918537896705,0.015419311150602112,0.4672607543191638,0.1782508767699467,5,4,0.5722098493612987,COMPLETE
36,0.45334512529048715,2026-05-17 19:41:19.704105,2026-05-17 19:41:26.802224,0 days 00:00:07.098119,4.170104400931133e-05,0.7160701048987665,0.02107799687062611,0.8845044214190365,0.10319907371630765,5,2,0.5855476500566285,COMPLETE
37,0.5171390234531185,2026-05-17 19:41:26.802224,2026-05-17 19:41:42.579847,0 days 00:00:15.777623,7.343454458960914e-07,0.814315049784615,0.010167317874418621,1.2979858450311446,0.23229755063531357,4,12,0.5248494739910167,COMPLETE
38,0.5585986386324754,2026-05-17 19:41:42.579847,2026-05-17 19:41:54.554653,0 days 00:00:11.974806,1.8715113220915293e-06,0.7253887442118316,0.012243997469204577,3.594732127274664,0.2536811742019809,6,3,0.6438935212492298,COMPLETE
39,0.5207425335848397,2026-05-17 19:41:54.554653,2026-05-17 19:42:07.731185,0 days 00:00:13.176532,0.00013567389785857351,0.786211349355556,0.0172685477697303,1.8754984601156806,1.0110483515296107,3,5,0.5640397091705777,COMPLETE
40,0.4847503660159931,2026-05-17 19:42:07.731185,2026-05-17 19:42:24.896371,0 days 00:00:17.165186,4.61818183652898e-06,0.8568319292891076,0.024400292742038483,0.5316572474456392,13.848846893732803,5,9,0.541200565274919,COMPLETE
41,0.4204777233820711,2026-05-17 19:42:24.896371,2026-05-17 19:42:34.258698,0 days 00:00:09.362327,6.721840346526139e-08,0.9780629026430283,0.012544963633331947,0.18125635067402945,0.7024452548193441,7,1,0.6881225863601867,COMPLETE
42,0.4199057020247989,2026-05-17 19:42:34.258698,2026-05-17 19:42:43.723097,0 days 00:00:09.464399,5.318923451791638e-08,0.8875491003151981,0.01260163062129055,0.2787793709683285,0.6911200244953648,7,1,0.6710637033599773,COMPLETE
43,0.43969465839818733,2026-05-17 19:42:43.723097,2026-05-17 19:42:54.112198,0 days 00:00:10.389101,5.6686012427865835e-08,0.8805097001352482,0.012827306265965337,0.2643949142860125,0.716230449928331,7,3,0.6230349650364833,COMPLETE
44,0.4474894402970124,2026-05-17 19:42:54.112198,2026-05-17 19:43:06.556253,0 days 00:00:12.444055,9.016609840285876e-08,0.8967926193175395,0.012220772791333344,0.7507882730265659,0.7085601575893342,7,3,0.7478176754888792,COMPLETE
45,0.427458399287417,2026-05-17 19:43:06.556253,2026-05-17 19:43:14.764662,0 days 00:00:08.208409,4.9040635546666324e-08,0.8758991998710581,0.016530558652699874,0.25624430542114196,1.23455556309261,8,2,0.6922166024238815,COMPLETE
46,0.43440118888543766,2026-05-17 19:43:14.764662,2026-05-17 19:43:26.535466,0 days 00:00:11.770804,5.1643539584514604e-08,0.8821051836859998,0.01220397214758014,0.6077142756321807,1.27026972688485,8,2,0.6896325725734489,COMPLETE
47,0.5174895746855028,2026-05-17 19:43:26.535466,2026-05-17 19:43:39.387724,0 days 00:00:12.852258,2.932588696018765e-08,0.8342459183420838,0.020015441870163832,2.575172625303498,1.2225553677608223,8,2,0.6891312316396685,COMPLETE
48,0.49374333034621837,2026-05-17 19:43:39.387724,2026-05-17 19:43:56.493189,0 days 00:00:17.105465,3.6892402771615216e-07,0.9277675922541022,0.015850535417937933,1.1131700152636688,1.938096562053631,8,14,0.7558515384613507,COMPLETE
49,0.45815225670135645,2026-05-17 19:43:56.493189,2026-05-17 19:44:04.128550,0 days 00:00:07.635361,0.017048184827151685,0.8031965896183191,0.02515951210852235,0.6892228873937221,0.8948683345627939,8,5,0.6621266757107411,COMPLETE
