number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
10,0.5847172717241088,2026-05-08 16:54:00.359854,2026-05-08 16:54:01.374130,0 days 00:00:01.014276,0.002773249066795465,0.7843529496897806,0.15983671952915698,4.886322961394294,0.11012068268351508,9,11,0.8643391621393876,COMPLETE
11,0.39498218996196244,2026-05-08 16:54:01.374130,2026-05-08 16:54:08.922226,0 days 00:00:07.548096,0.0007472796146331828,0.6436872084929202,0.03468099158199044,0.08039803236775112,0.5003662796246274,6,8,0.6346082287417886,COMPLETE
12,0.40645959646042895,2026-05-08 16:54:08.922226,2026-05-08 16:54:19.028956,0 days 00:00:10.106730,0.0018428202990682075,0.6524249765453726,0.025316972938984758,0.2521949891786348,0.6542220698627639,5,9,0.6339681300915327,COMPLETE
13,0.5328894883419418,2026-05-08 16:54:19.028956,2026-05-08 16:54:25.393011,0 days 00:00:06.364055,0.0004255396967126143,0.7975829633785629,0.028759933371460426,2.185953719742991,0.3405752152984019,6,12,0.8850757456968863,COMPLETE
14,0.39419844559090345,2026-05-08 16:54:25.393011,2026-05-08 16:54:35.113761,0 days 00:00:09.720750,0.01920996554995895,0.5060089936064612,0.03471321752609959,0.0387802441092312,0.109694837297049,7,8,0.6240076683902579,COMPLETE
15,0.39198111834671606,2026-05-08 16:54:35.113761,2026-05-08 16:54:43.151157,0 days 00:00:08.037396,3.6827565618352256e-05,0.5035562825497004,0.030892680142817902,0.07511227102873526,0.1065332625213333,9,8,0.6253632244083384,COMPLETE
16,0.5012420924318615,2026-05-08 16:54:43.151157,2026-05-08 16:54:51.766961,0 days 00:00:08.615804,1.8510361900836675e-05,0.5016088818817523,0.01780217532162535,1.8724202727801227,0.13390349306160326,10,14,0.500027269107575,COMPLETE
17,0.5458262450759284,2026-05-08 16:54:51.766961,2026-05-08 16:55:01.131490,0 days 00:00:09.364529,6.941783249814486e-05,0.5045783356718447,0.010402548051639107,2.930520177997031,0.10712480485257359,9,8,0.7001064679762286,COMPLETE
18,0.42932433390863317,2026-05-08 16:55:01.131490,2026-05-08 16:55:10.258896,0 days 00:00:09.127406,0.3666495671013975,0.8915294485645014,0.06107280345440953,0.8906232063684952,4.913912564117812,8,12,0.608687627037302,COMPLETE
19,0.3896658625602476,2026-05-08 16:55:10.258896,2026-05-08 16:55:26.969632,0 days 00:00:16.710736,1.2376205268355554e-06,0.7135703468853285,0.018341000436176057,0.030555909823853818,1.1542571546524831,10,10,0.7231378690053191,COMPLETE
20,0.4107157301934016,2026-05-08 16:55:26.969632,2026-05-08 16:55:39.314715,0 days 00:00:12.345083,1.436165183786432e-06,0.714972406418668,0.01867886583600554,0.6051901547714111,6.4207087356707,10,10,0.7214850971982657,COMPLETE
21,0.3949465654428751,2026-05-08 16:55:39.314715,2026-05-08 16:55:48.030851,0 days 00:00:08.716136,2.814256765986433e-06,0.6163636044596882,0.03383073826210066,0.015681872659908225,1.0524626800450034,9,9,0.5981305083249958,COMPLETE
22,0.3797828094306737,2026-05-08 16:55:48.030851,2026-05-08 16:56:00.193603,0 days 00:00:12.162752,1.1474774495825679e-08,0.7550696702207739,0.022004615068879026,0.4802165930312765,0.3171578093271037,11,7,0.6654841066123521,COMPLETE
23,0.41106966321652055,2026-05-08 16:56:00.193603,2026-05-08 16:56:11.585133,0 days 00:00:11.391530,1.3520586333787054e-08,0.7556922846711585,0.014305906187806371,1.0841904406881313,1.1787452687094206,11,6,0.6712556732105834,COMPLETE
